case_id,amount_at_risk,log_amount,case_age_at_decision_hours,diagnosis_category,diagnosis_confidence,risk_score,heuristic_recovery_probability,customer_success_rate,customer_success_count,customer_failure_count,previous_recovery_attempts,payment_method,bank,action_type,decision_score,decision_confidence,created_at,recovered,error_code,error_reason
57015c0c-bb66-4dbb-a6cc-f926733051e5,650.0,6.478509642208569,0.0,AUTHENTICATION_FAILURE,0.9,40.1,0.8,0.6667,0,3,0,CARD,UNKNOWN,SEND_PAYMENT_LINK,0.9,0.82,2026-08-22T03:16:08.209761+00:00,1,BAD_REQUEST_ERROR,incorrect_otp
5c871e36-3678-4cc3-83ae-3488030afd39,650.0,6.478509642208569,0.0,AUTHENTICATION_FAILURE,0.9,36.6,0.8,0.7,0,3,0,CARD,UNKNOWN,SEND_PAYMENT_LINK,0.9,0.82,2026-08-22T03:16:19.659795+00:00,1,BAD_REQUEST_ERROR,incorrect_otp
4803b04a-9795-4103-8255-f48e8635ab10,650.0,6.478509642208569,0.0,AUTHENTICATION_FAILURE,0.9,36.19,0.8,0.7273,0,3,0,CARD,UNKNOWN,SEND_PAYMENT_LINK,0.9,0.82,2026-08-22T03:16:44.721541+00:00,0,BAD_REQUEST_ERROR,incorrect_otp
c5f9f1e6-61c0-4b74-aa60-2fff2acba430,650.0,6.478509642208569,0.0,AUTHENTICATION_FAILURE,0.9,40.1,0.8,0.6667,0,4,0,CARD,UNKNOWN,SEND_PAYMENT_LINK,0.9,0.82,2026-08-22T03:17:28.872217+00:00,1,BAD_REQUEST_ERROR,incorrect_otp
9a3ccc39-c77f-4663-af94-f20fa78ce5a1,5000.0,8.517393171418904,0.0,AUTHENTICATION_FAILURE,0.82,51.5,0.6,0.0,0,1,0,UPI,UNKNOWN,SEND_PAYMENT_LINK,0.9,0.82,2026-08-22T04:43:52.917166+00:00,1,BAD_REQUEST_ERROR,Customer bank server timed out during UPI PIN verification.
863253a4-4d0c-4e13-9273-fe67988db32a,5000.0,8.517393171418904,0.0,AUTHENTICATION_FAILURE,0.82,51.5,0.65,0.0,0,1,0,UPI,UNKNOWN,SEND_PAYMENT_LINK,0.9,0.82,2026-08-22T04:44:06.151269+00:00,1,BAD_REQUEST_ERROR,Customer bank server timed out during UPI PIN verification.
5243086c-26eb-469c-9289-2f7bf90b8c94,5000.0,8.517393171418904,0.0,AUTHENTICATION_FAILURE,0.82,51.5,0.65,0.0,0,1,0,UPI,UNKNOWN,SEND_PAYMENT_LINK,0.9,0.82,2026-08-22T04:44:20.055831+00:00,1,BAD_REQUEST_ERROR,Customer bank server timed out during UPI PIN verification.
efba4993-22b0-44da-a48e-1ae94bb3e835,5000.0,8.517393171418904,0.0,AUTHENTICATION_FAILURE,0.82,51.5,0.65,0.0,0,1,0,UPI,UNKNOWN,SEND_PAYMENT_LINK,0.9,0.82,2026-08-22T05:34:16.742979+00:00,1,BAD_REQUEST_ERROR,Customer bank server timed out during UPI PIN verification.
60c78f28-3f20-4815-be9f-3db52f5ed213,5000.0,8.517393171418904,0.0,AUTHENTICATION_FAILURE,0.82,51.5,0.6,0.0,0,1,0,UPI,UNKNOWN,SEND_PAYMENT_LINK,0.9,0.82,2026-08-22T07:05:49.977408+00:00,1,BAD_REQUEST_ERROR,Customer bank server timed out during UPI PIN verification.
c329b791-c25f-4a30-8f78-b0ebd1e506c1,5000.0,8.517393171418904,0.0,UNKNOWN,0.4,61.5,0.45,0.0,0,1,0,UPI,UNKNOWN,WAIT,0.75,0.7,2026-08-22T17:19:49.055737+00:00,0,BAD_REQUEST_ERROR,Customer bank server timed out.
2c6f5ed6-884f-4ce5-92e0-70113cef566e,5000.0,8.517393171418904,0.0,UNKNOWN,0.4,64.5,0.45,0.0,0,2,0,UPI,UNKNOWN,WAIT,0.75,0.7,2026-08-22T17:26:04.315151+00:00,0,BAD_REQUEST_ERROR,Customer bank server timed out.
462f641d-2d91-47cf-ab65-b582c855ed1d,5000.0,8.517393171418904,0.0,UNKNOWN,0.4,67.5,0.35,0.0,0,3,0,UPI,UNKNOWN,WAIT,0.75,0.7,2026-08-22T17:27:35.834191+00:00,0,BAD_REQUEST_ERROR,Customer bank server timed out.
c7e1aa5a-a3d7-4284-aaf3-2ac58f615a14,5000.0,8.517393171418904,0.0,UNKNOWN,0.4,70.5,0.35,0.0,0,4,0,UPI,UNKNOWN,WAIT,0.75,0.7,2026-08-22T17:28:29.237490+00:00,0,BAD_REQUEST_ERROR,Customer bank server timed out.
c5b33ae7-4d37-4664-b08e-9fe0197cdaf8,5000.0,8.517393171418904,0.0,UNKNOWN,0.4,73.5,0.35,0.0,0,5,0,UPI,UNKNOWN,WAIT,0.75,0.7,2026-08-22T17:29:59.255797+00:00,0,BAD_REQUEST_ERROR,Customer bank server timed out.
3c85d2e6-cd85-4fee-b486-05ddbf629a56,5000.0,8.517393171418904,0.0,UNKNOWN,0.4,73.5,0.35,0.0,0,6,0,UPI,UNKNOWN,WAIT,0.75,0.7,2026-08-22T17:31:48.889960+00:00,0,BAD_REQUEST_ERROR,Customer bank server timed out.
9c2cf6ef-6ea9-4dbc-97df-c62b90b3136b,5000.0,8.517393171418904,0.0,UNKNOWN,0.4,73.5,0.35,0.0,0,7,0,UPI,UNKNOWN,WAIT,0.75,0.7,2026-08-22T17:32:35.215330+00:00,0,BAD_REQUEST_ERROR,Customer bank server timed out.
47a98c39-d902-40c6-afee-2dec36893e69,5000.0,8.517393171418904,0.0,UNKNOWN,0.4,73.5,0.35,0.0,0,8,0,UPI,UNKNOWN,WAIT,0.75,0.7,2026-08-22T17:36:02.467765+00:00,0,BAD_REQUEST_ERROR,Customer bank server timed out.
76abeacc-c576-4702-96ac-b68a4abfa261,10000.0,9.210440366976517,0.0,UNKNOWN,0.4,75.0,0.35,0.0,0,9,0,UPI,UNKNOWN,WAIT,0.75,0.7,2026-08-22T18:09:02.579543+00:00,0,BAD_REQUEST_ERROR,Customer bank server timed out during authorization.
348c397e-8d89-4ed6-a41f-e124e634ff32,10000.0,9.210440366976517,0.0,UNKNOWN,0.4,75.0,0.35,0.0,0,10,0,UPI,UNKNOWN,WAIT,0.75,0.7,2026-08-22T18:10:00.965450+00:00,0,BAD_REQUEST_ERROR,Customer bank server timed out during authorization.
348c397e-8d89-4ed6-a41f-e124e634ff32,10000.0,9.210440366976517,0.0,PAYMENT_METHOD_ISSUE,0.85,0.25,0.7,0.0,0,1,1,CARD,UNKNOWN,EMAIL_PAYMENT_RECOVERY,0.63,0.85,2026-08-22T18:10:18.369943+00:00,0,,
348c397e-8d89-4ed6-a41f-e124e634ff32,10000.0,9.210440366976517,0.0,PAYMENT_METHOD_ISSUE,0.85,0.25,0.88,0.0,0,1,2,CARD,UNKNOWN,EMAIL_FOLLOWUP,0.836,0.88,2026-08-22T18:10:27.969779+00:00,0,,
e51ae9fe-abc0-461b-aad7-250f09feb248,10000.0,9.210440366976517,0.0,UNKNOWN,0.4,63.0,0.4,0.0,0,1,0,UPI,UNKNOWN,WAIT,0.75,0.7,2026-08-22T18:15:15.256251+00:00,0,BAD_REQUEST_ERROR,Customer bank server timed out during authorization.
e51ae9fe-abc0-461b-aad7-250f09feb248,10000.0,9.210440366976517,0.0,PAYMENT_METHOD_ISSUE,0.85,0.25,0.8,0.0,0,1,1,CARD,UNKNOWN,EMAIL_PAYMENT_RECOVERY,0.72,0.85,2026-08-22T18:15:17.598347+00:00,0,,
